PMDB,PT,PSDB,PP,PR,PSD,PSB,DEM,PRB,PDT,PTB,SD,PTN,PCdoB,PSC,PPS,PHS,PV,PSOL,PROS,REDE,PTdoB,PEN,PSL,PMB,PRP,ano,municipio_codigo,cargo_codigo,partido_codigo,coligacao,populacao,latitude,longitude,estado,municipio,cargo,tipo,partido,coligacao_nome,coligacao_partidos,codigo_ibge,pobres,idhm,rendapercapita,candidaturas_mun
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2016,71838,11,,1,276183,-23.010401,-45.559299,SP,TAUBATÉ,PREFEITO,COLIGACAO,PMB,TAUBATÉ MERECE MAIS,PMB / PRTB,,,,,8
0,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2016,71838,11,,1,276183,-23.010401,-45.559299,SP,TAUBATÉ,PREFEITO,COLIGACAO,PP,TAUBATE QUE A GENTE QUER,PP / PDT / PTB / PSC / PR / DEM / PHS / PSB / PSDB / PRP / PSD / SD / PROS,,,,,8
0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,2016,71838,11,,1,276183,-23.010401,-45.559299,SP,TAUBATÉ,PREFEITO,COLIGACAO,PRB,JUNTOS TAUBATÉ ACONTECE,PRB / PSL / PTN / PPS / PV / PC do B,,,,,8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2016,71838,11,50,0,276183,-23.010401,-45.559299,SP,TAUBATÉ,PREFEITO,PARTIDO ISOLADO,PSOL,#NULO#,PSOL,3554102,3.75,.80000001,1011.95,8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2016,71838,11,50,0,276183,-23.010401,-45.559299,SP,TAUBATÉ,PREFEITO,PARTIDO ISOLADO,PSOL,#NULO#,PSOL,3554102,3.75,.80000001,1011.95,8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,71838,11,27,0,276183,-23.010401,-45.559299,SP,TAUBATÉ,PREFEITO,PARTIDO ISOLADO,PSDC,#NULO#,PSDC,3554102,3.75,.80000001,1011.95,8
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,71838,11,13,0,276183,-23.010401,-45.559299,SP,TAUBATÉ,PREFEITO,PARTIDO ISOLADO,PT,#NULO#,PT,3554102,3.75,.80000001,1011.95,8
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2016,71838,11,,1,276183,-23.010401,-45.559299,SP,TAUBATÉ,PREFEITO,COLIGACAO,PMDB,TODOS POR TAUBATE,PMDB / PTC / PEN / PT do B,,,,,8
0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,71854,11,,1,4732,-23.342501,-49.3722,SP,TEJUPÁ,PREFEITO,COLIGACAO,PSDB,COMPROMISSO COM O FUTURO,PSDB / PP / PSD / PDT / DEM / PTN / PTB / SD,,,,,3
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,71854,11,40,0,4732,-23.342501,-49.3722,SP,TEJUPÁ,PREFEITO,PARTIDO ISOLADO,PSB,#NULO#,PSB,3554201,12.71,.66799998,510.13,3
